income,degree,region
20786,22.3,W
21729,22.8,NC
19517,25.4,S
19588,25.3,W
24400,27.8,W
16803,16.6,NE
18042,22.1,W
17461,13.7,NC
17823,18.8,S
21001,26.3,S
16721,15.2,NE
23779,32.8,W
25193,32.6,W
16399,14.9,W
21086,20.1,NC
25312,35.4,NE
20681,22.6,NE
24262,23,NE
31679,30,NE
22148,28.8,W
22355,18.8,S
15508,19.7,S
17185,14.6,W
18825,24,S
26884,30.2,NC
18934,23,W
23705,31.6,NC
24219,29.2,NC
18305,20,NE
19040,26.6,NC
18431,19.3,NC
33330,35.3,NE
20580,23.7,NC
26798,22.1,S
24875,25.8,NE
21610,18.5,S
21307,24.6,W
16876,20.2,S
32342,34.2,NE
18430,20.8,S
32230,31.7,NE
28999,49,S
22197,24.2,NE
25523,31.6,W
19148,21.4,NC
26772,36,NC
24523,24,NE
30081,49.9,S
18625,13.8,W
17263,15.5,S
19568,25.5,S
15399,23.8,W
28532,35,W
20924,13.5,NC
21641,26.3,NE
19895,22.2,NE
23470,25,S
28462,32.1,NE
17879,21.2,S
17662,18.4,S
24896,26.5,NE
22834,25.9,NE
21420,23,W
16365,16.9,W
15191,23.3,W
19140,19.3,S
23150,27.7,NE
18624,19.9,S
28819,31.3,W
22819,31.6,S
18611,20,NC
26909,34.4,NE
23603,33.3,S
17741,22.6,S
17866,18.3,NE
11545,15.2,S
16194,17.5,W
19215,23.7,W
18340,34.7,S
18410,20,NC
27391,28.4,NE
18463,19.7,NE
23658,24.8,NE
21005,32.7,S
15881,13.3,W
22548,24.8,NE
27378,32,NC
18583,19.7,NC
20942,28.3,S
19505,24.4,S
18521,15.9,NE
19295,23.7,S
19930,21,NE
18674,20.7,NC
16578,22.4,S
26248,25,NE
20303,28.8,NC
15453,13.2,W
17518,26.7,W
16327,12.8,NC
19401,24.4,NE
22156,29,W
18545,19.3,W
17815,17,NC
19073,17.6,NE
21973,18.7,NE
17101,18.8,S
21933,33,S
22284,25.2,NE
20997,30.7,W
21500,22.2,NE
20974,15.3,NE
